variant,artifact_path,artifact_sha256,params_after,macs_reduction_pct,changed_layers,representative_detection_count,smoke_eval_detections,smoke_f1,smoke_precision,smoke_recall,quick_eval_detections,quick_f1,quick_precision,quick_recall,quick_runtime_s,quick_forward_pass_s,quick_mean_patch_latency_s,quick_end_to_end_speedup_pct,quick_forward_speedup_pct,selection_decision
FCOS_18_baseline,,,,,,,26,0.6774193548386988,0.8076923076922767,0.583333333333317,559,0.8018018018018012,0.7960644007155621,0.8076225045372036,1541.8768151650002,1522.6000465809977,0.6193279230506842,,,baseline
fcos18_depgraph_fpn_head_20pct,/home/johan/bachelorarbeit-midog/experiments/pruning/models/FCOS_18_depgraph_fpn_head_20pct.pt,effc7c44bac6bacc9c0476aa95246225677aec75b39d0c03c04e7c3c3c5ff4ed,17292935,8.502547042210267,10,11,25,0.6885245901639231,0.8399999999999664,0.583333333333317,534,0.8036866359446998,0.8164794007490621,0.7912885662431928,1496.0542687150005,1477.7880955069882,0.6008809410353995,2.9718681803446194,2.943120301003204,do not fine-tune: quick forward speedup below 10%
fcos18_depgraph_fpn_head_30pct,/home/johan/bachelorarbeit-midog/experiments/pruning/models/FCOS_18_depgraph_fpn_head_30pct.pt,bc81be70796ae922523d2923eadc0e7097da8263ede20fde49ee9643ef1d1f42,16834247,11.848959928511665,10,155,25,0.6885245901639231,0.8399999999999664,0.583333333333317,546,0.7985414767547852,0.8021978021978007,0.7949183303085284,1432.906039382,1415.0231300229989,0.5754725338805314,7.067411268606364,7.065343049185049,do not fine-tune: quick forward speedup below 10%
fcos18_depgraph_fpn_head_40pct,/home/johan/bachelorarbeit-midog/experiments/pruning/models/FCOS_18_depgraph_fpn_head_40pct.pt,dbcf255a0f6f19cefb5f4361f1dc9f3cd008b7d91292db5d6dad182c12bc735a,16417031,15.016851307168402,10,21,25,0.6885245901639231,0.8399999999999664,0.583333333333317,535,0.7974217311233879,0.8093457943925219,0.7858439201451891,1469.7447005590002,1452.7281877960258,0.5902121432260651,4.67820216871741,4.58898309781806,do not fine-tune: quick forward speedup below 10%
fcos18_depgraph_fpn_head_50pct,/home/johan/bachelorarbeit-midog/experiments/pruning/models/FCOS_18_depgraph_fpn_head_50pct.pt,4bc77f9dbd875fabbf06c53c1c9667b7e5b03397f1a89a7de77b41116555f1c8,16041287,18.006221178180482,10,2,24,0.7333333333333211,0.9166666666666285,0.6111111111110941,519,0.801869158878504,0.826589595375721,0.7785843920145176,1389.9806570420005,1372.1547119060015,0.5581200961045849,9.851380903392391,9.88081768503959,do not fine-tune: quick forward speedup below 10%
fcos18_depgraph_fpn_head_60pct,/home/johan/bachelorarbeit-midog/experiments/pruning/models/FCOS_18_depgraph_fpn_head_60pct.pt,27d78f008ede925991339b5beb3f71f3394937e112c3addc65adbbe9440bbc6b,15604807,21.714347549860445,10,38,20,0.6785714285714164,0.9499999999999525,0.5277777777777631,413,0.7800829875518664,0.9104116222760268,0.6823956442831204,1263.5514468839992,1244.7076730599729,0.5072466725635584,18.05107681389039,18.251173323226467,fine-tuning candidate: quick forward speedup >=15%
fcos18_depgraph_fpn_head_70pct,/home/johan/bachelorarbeit-midog/experiments/pruning/models/FCOS_18_depgraph_fpn_head_70pct.pt,f3ae69423c90dd788904a543653d352d3c39f3936a8c87e8efa5e468054c4d7b,15325831,24.28716723636832,10,235,14,0.5199999999999896,0.9285714285713622,0.36111111111110106,341,0.7152466367712996,0.9354838709677391,0.5789473684210515,1245.6129272140006,1227.0806074870288,0.4999952803370872,19.214497879280685,19.408868386518087,fine-tuning candidate: quick forward speedup >=15%
