variant,params_before,params_after,params_reduction_pct,macs_before,macs_after,macs_reduction_pct,changed_layers,smoke_original_detections,smoke_pruned_detections,f1,precision,recall,false_positives,false_negatives,total_detections,runtime_s,forward_pass_s,mean_patch_latency_s,end_to_end_speedup_pct,forward_speedup_pct,recommendation
FCOS_18_baseline,,,,,,,,,,0.6774193548386988,0.8076923076922767,0.583333333333317,5,15,26,171.42739058900042,167.65964357899338,0.640755090428029,,,baseline
fcos18_depgraph_structural_20pct,18524487,13098439,29.291218698795817,505502520064.0,449877431040.0,11.003919232085627,29,178,154,0.0,0.0,0.0,0,36,0,162.648329742,159.4847271270055,0.6087439585378778,5.121154103108505,4.875899934820179,reject: detections not plausible
fcos18_depgraph_structural_30pct,18524487,10938295,40.95223797560494,505502520064.0,428453319424.0,15.24210020362412,29,178,176,0.05405405405405259,0.9999999999989999,0.027777777777777006,0,35,1,161.19754412900056,158.2461915749991,0.6033913667007585,5.967451540183601,5.614620073768141,reject: detections not plausible
fcos18_depgraph_head_only_20pct,18524487,18524487,0.0,505502520064.0,505502520064.0,0.0,0,178,178,0.6774193548386988,0.8076923076922767,0.583333333333317,5,15,26,170.32574819,167.31558237200807,0.6378687495871211,0.6426291593282281,0.20521408708781513,do not fine-tune yet: speedup below threshold
fcos18_depgraph_fpn_head_20pct,18524487,17292935,6.648238086161307,505502520064.0,462521930496.0,8.502547042210267,10,178,11,0.6885245901639231,0.8399999999999664,0.583333333333317,4,15,25,165.66507677200025,162.55039487899285,0.6201573605681798,3.361372880495746,3.0473932730229714,do not fine-tune yet: speedup below threshold
fcos18_depgraph_backbone_fpn_head_20pct,18524487,13098439,29.291218698795817,505502520064.0,449877431040.0,11.003919232085627,29,178,154,0.0,0.0,0.0,0,36,0,161.38095013900056,158.22497753099742,0.6040358861628778,5.860463964061815,5.62727311510166,reject: detections not plausible
