model,runtime,precision,operating_point,threshold,f1,precision_metric,recall,ap,forward_time_s,e2e_time_s,throughput_patches_s,speedup_vs_ort_baseline_forward,speedup_vs_ort_baseline_e2e,peak_ram_bytes,model_size_bytes,image_count,patch_count,result_dir
Pruned/recovered,ORT,INT8,calibrated,0.546,0.8207091055600321,0.8157789347216657,0.825699229833806,0.878639280796051,2465.5140217480202,2608.876823035999,3.2581070616083703,1.5331917339808805,1.5000591369372593,2312384512,16466471,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/pruned_recovered/final_test_calibrated/onnxruntime_int8
Baseline,ORT,INT8,calibrated,0.583,0.8284686125549778,0.8173570019723863,0.8398865018240775,0.8857691884040833,2682.9147991340337,2785.5696128419995,3.051440524341378,1.408954812645608,1.4049081729988617,,19476233,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/baseline/final_test_calibrated/onnxruntime_int8
Baseline,ORT,FP32,fixed,0.584,0.8250497017892643,0.8095981271946935,0.8411025537089579,0.8859153985977173,3780.1057181580213,3913.469515539,2.1719857446824395,1.0,1.0,2335309824,74444978,111,8500,experiments/quantization/ptq_20260816T1815Z/baseline/final_test_fp32_fixed
Baseline,OpenVINO,FP32,fixed,0.584,0.8231803797468353,0.8037852452684431,0.8435346574787188,0.886191725730896,7605.406250312074,7675.307430016999,1.107447496729284,0.49702877055422406,0.5098778845305917,2028634112,75009719,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/baseline/final_test_fixed_fp32
