variant,backend,precision,threshold,f1,precision_metric,recall,true_positives,false_positives,false_negatives,total_detections
baseline,ONNX_Runtime,INT8,0.388,0.6775389177168271,0.528323699421965,0.9442148760330568,914,816,54,1730
baseline,ONNX_Runtime,INT8,0.389,0.6800744878957167,0.5317414094350609,0.9431818181818172,913,804,55,1717
baseline,ONNX_Runtime,INT8,0.39,0.6810891458411038,0.5329830706363102,0.9431818181818172,913,800,55,1713
baseline,ONNX_Runtime,INT8,0.391,0.6815976110488986,0.5336060783167735,0.9431818181818172,913,798,55,1711
baseline,ONNX_Runtime,INT8,0.392,0.6821068360104592,0.5342305441778815,0.9431818181818172,913,796,55,1709
baseline,ONNX_Runtime,INT8,0.393,0.6826347305389219,0.5352112676056335,0.9421487603305776,912,792,56,1704
baseline,ONNX_Runtime,INT8,0.394,0.6846846846846845,0.5377358490566034,0.9421487603305776,912,784,56,1696
baseline,ONNX_Runtime,INT8,0.395,0.6854778028592925,0.5390532544378696,0.9411157024793378,911,779,57,1690
baseline,ONNX_Runtime,INT8,0.396,0.6867696946852617,0.5406528189910976,0.9411157024793378,911,774,57,1685
baseline,ONNX_Runtime,INT8,0.397,0.6880907372400754,0.5426356589147284,0.9400826446280982,910,767,58,1677
baseline,ONNX_Runtime,INT8,0.398,0.6893939393939391,0.5442583732057413,0.9400826446280982,910,762,58,1672
baseline,ONNX_Runtime,INT8,0.399,0.6901782328403486,0.5452366686638703,0.9400826446280982,910,759,58,1669
baseline,ONNX_Runtime,INT8,0.4,0.6922784328642066,0.5478627332931966,0.9400826446280982,910,751,58,1661
baseline,ONNX_Runtime,INT8,0.401,0.6933333333333331,0.549185274592637,0.9400826446280982,910,747,58,1657
baseline,ONNX_Runtime,INT8,0.402,0.6957186544342505,0.5521844660194172,0.9400826446280982,910,738,58,1648
baseline,ONNX_Runtime,INT8,0.403,0.697318007662835,0.5542021924482335,0.9400826446280982,910,732,58,1642
baseline,ONNX_Runtime,INT8,0.404,0.6994619523443503,0.5569155446756423,0.9400826446280982,910,724,58,1634
