model,runtime,precision,operating_point,threshold,f1,precision_metric,recall,ap,forward_time_s,e2e_time_s,throughput_patches_s,speedup_vs_ort_baseline_forward,speedup_vs_ort_baseline_e2e,peak_ram_bytes,model_size_bytes,image_count,patch_count,result_dir
Baseline,ORT,INT8,fixed,0.584,0.8296296296296295,0.8196202531645567,0.8398865018240775,0.8857691884040833,2682.9147991340337,2785.5696128419995,3.051440524341378,1.408954812645608,1.4049081729988617,,19476233,111,8500,experiments/quantization/ptq_20260816T1815Z/baseline/final_test_fixed
Baseline,OpenVINO,INT8,fixed,0.584,0.8271954674220962,0.8258585858585855,0.8285366842318602,0.8769268989562988,4058.158076837177,4159.587845473001,2.0434716889681255,0.9314831129259848,0.9408310777227944,1547964416,19979362,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/baseline/final_test_fixed_int8
Pruned/recovered,ORT,INT8,fixed,0.584,0.8204912870039889,0.851045296167247,0.7920551276854476,0.878639280796051,2465.5140217480202,2608.876823035999,3.2581070616083703,1.5331917339808805,1.5000591369372593,2312384512,16466471,111,8500,experiments/quantization/ptq_20260816T1815Z/pruned_recovered/final_test_fixed
Pruned/recovered,OpenVINO,INT8,fixed,0.584,0.8164556962025314,0.8512978442586886,0.7843534657478716,0.8709028959274292,6065.249473927266,6141.891476417,1.3839384874573935,0.6232399399905297,0.6371765978877248,1532776448,17029839,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/pruned_recovered/final_test_fixed_int8
Baseline,ORT,INT8,calibrated,0.583,0.8284686125549778,0.8173570019723863,0.8398865018240775,0.8857691884040833,2682.9147991340337,2785.5696128419995,3.051440524341378,1.408954812645608,1.4049081729988617,,19476233,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/baseline/final_test_calibrated/onnxruntime_int8
Pruned/recovered,ORT,INT8,calibrated,0.546,0.8207091055600321,0.8157789347216657,0.825699229833806,0.878639280796051,2465.5140217480202,2608.876823035999,3.2581070616083703,1.5331917339808805,1.5000591369372593,2312384512,16466471,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/pruned_recovered/final_test_calibrated/onnxruntime_int8
Baseline,OpenVINO,INT8,calibrated,0.6,0.8280307756290287,0.8501280956447478,0.8070531009323062,0.8769268989562988,4058.158076837177,4159.587845473001,2.0434716889681255,0.9314831129259848,0.9408310777227944,1547964416,19979362,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/baseline/final_test_calibrated/openvino_int8
Pruned/recovered,OpenVINO,INT8,calibrated,0.565,0.8202594193946879,0.83347280334728,0.8074584515605996,0.8709028959274292,6065.249473927266,6141.891476417,1.3839384874573935,0.6232399399905297,0.6371765978877248,1532776448,17029839,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/pruned_recovered/final_test_calibrated/openvino_int8
