model,runtime,precision,operating_point,threshold,f1,precision_metric,recall,ap,forward_time_s,e2e_time_s,throughput_patches_s,speedup_vs_ort_baseline_forward,speedup_vs_ort_baseline_e2e,peak_ram_bytes,model_size_bytes,image_count,patch_count,result_dir
Baseline,OpenVINO,FP32,fixed,0.584,0.8231803797468353,0.8037852452684431,0.8435346574787188,0.886191725730896,7605.406250312074,7675.307430016999,1.107447496729284,0.49702877055422406,0.5098778845305917,2028634112,75009719,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/baseline/final_test_fixed_fp32
Baseline,OpenVINO,INT8,fixed,0.584,0.8271954674220962,0.8258585858585855,0.8285366842318602,0.8769268989562988,4058.158076837177,4159.587845473001,2.0434716889681255,0.9314831129259848,0.9408310777227944,1547964416,19979362,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/baseline/final_test_fixed_int8
Pruned/recovered,OpenVINO,FP32,fixed,0.584,0.8241123038810898,0.8397139251156918,0.8090798540737735,0.8788632750511169,5950.6957847679805,6021.392172322001,1.4116336815049508,0.6352376015984506,0.64992769172679,1907838976,63314896,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/pruned_recovered/final_test_fixed_fp32
Pruned/recovered,OpenVINO,INT8,fixed,0.584,0.8164556962025314,0.8512978442586886,0.7843534657478716,0.8709028959274292,6065.249473927266,6141.891476417,1.3839384874573935,0.6232399399905297,0.6371765978877248,1532776448,17029839,111,8500,experiments/quantization/openvino_ptq_20260819T0000Z/pruned_recovered/final_test_fixed_int8
